SMA,year,emp
"Abilene, TX",1975,13417.816909336814
"Abilene, TX",1976,14524.821803411753
"Abilene, TX",1977,15410.048153187086
"Abilene, TX",1978,17484.286511440492
"Abilene, TX",1979,16646.170418353133
"Abilene, TX",1980,17754.413696490567
"Abilene, TX",1981,20604.968674692413
"Abilene, TX",1982,24531.986588486005
"Abilene, TX",1983,21488.242022216382
"Abilene, TX",1984,20711.823713673853
"Abilene, TX",1985,20796.86212221551
"Abilene, TX",1986,18331.90169200536
"Abilene, TX",1987,16404.1932556083
"Abilene, TX",1988,15781.112175793187
"Abilene, TX",1989,15893.81251696562
"Abilene, TX",1990,16307.231876997717
"Abilene, TX",1991,15588.411533672235
"Abilene, TX",1992,15840.042311087474
"Abilene, TX",1993,16950.12988081906
"Abilene, TX",1994,16206.276075209094
"Abilene, TX",1995,17245.4933224914
"Abilene, TX",1996,17659.286317125083
"Abilene, TX",1997,19853.412318492214
"Abilene, TX",1998,48343.00008575618
"Abilene, TX",1999,48446.00008678436
"Abilene, TX",2000,48970.00009162724
"Abilene, TX",2001,48531.00008419156
"Abilene, TX",2002,49795.00009223819
"Abilene, TX",2003,53191.0
"Abilene, TX",2004,51490.0
"Abilene, TX",2005,49757.0
"Abilene, TX",2006,51727.0
"Abilene, TX",2007,52585.0
"Abilene, TX",2008,52643.0
"Abilene, TX",2009,52079.0
"Abilene, TX",2010,51685.00000013411
"Abilene, TX",2011,51139.00000111759
"Abilene, TX",2012,53486.0
"Abilene, TX",2013,53823.0
"Abilene, TX",2014,53513.0
"Abilene, TX",2015,56146.0
"Abilene, TX",2016,55518.0
"Abilene, TX",2017,44006.0
"Abilene, TX",2018,46330.0
"Albany, GA",1975,13723.518919402457
"Albany, GA",1976,13390.48226337131
"Albany, GA",1977,14305.242731450044
"Albany, GA",1978,15440.010999927863
"Albany, GA",1979,16891.930807284713
"Albany, GA",1980,18588.91301534462
"Albany, GA",1981,18336.431040048083
"Albany, GA",1982,18424.812794758447
"Albany, GA",1983,17370.24417101976
"Albany, GA",1984,18085.655324193183
"Albany, GA",1985,19310.284957475986
"Albany, GA",1986,17615.925326568264
"Albany, GA",1987,17703.680237785033
"Albany, GA",1988,18571.93447025529
"Albany, GA",1989,18977.25874002109
"Albany, GA",1990,19240.121355617022
"Albany, GA",1991,17738.516043610867
"Albany, GA",1992,18936.710371016925
"Albany, GA",1993,18537.115627118692
"Albany, GA",1994,18804.17194130913
"Albany, GA",1995,19447.712597611175
"Albany, GA",1996,19304.367081882516
"Albany, GA",1997,20895.52670495745
"Albany, GA",1998,47074.000091418624
"Albany, GA",1999,46841.000096440315
"Albany, GA",2000,47882.000093087554
"Albany, GA",2001,46035.000093996525
"Albany, GA",2002,45674.000087827444
"Albany, GA",2003,46956.00000022352
"Albany, GA",2004,47767.0
"Albany, GA",2005,46269.0
"Albany, GA",2006,47145.0
"Albany, GA",2007,45813.0
"Albany, GA",2008,45473.0
"Albany, GA",2009,43476.0
"Albany, GA",2010,40292.0
"Albany, GA",2011,40677.0
"Albany, GA",2012,42172.0
"Albany, GA",2013,41971.0
"Albany, GA",2014,41793.0
"Albany, GA",2015,41255.0
"Albany, GA",2016,40802.0
"Albany, GA",2017,28245.0
"Albany, GA",2018,29233.0
"Albany-Schenectady-Troy, NY",1975,112030.7986477755
"Albany-Schenectady-Troy, NY",1976,112765.69129584735
"Albany-Schenectady-Troy, NY",1977,115344.0374845246
"Albany-Schenectady-Troy, NY",1978,120607.58618761842
"Albany-Schenectady-Troy, NY",1979,121896.75552759638
"Albany-Schenectady-Troy, NY",1980,119202.23386346815
"Albany-Schenectady-Troy, NY",1981,118255.85006090325
"Albany-Schenectady-Troy, NY",1982,117279.04070712267
"Albany-Schenectady-Troy, NY",1983,115221.58190243138
"Albany-Schenectady-Troy, NY",1984,120590.33679160445
"Albany-Schenectady-Troy, NY",1985,121605.90630797856
"Albany-Schenectady-Troy, NY",1986,117969.44235537316
"Albany-Schenectady-Troy, NY",1987,127455.52067162961
"Albany-Schenectady-Troy, NY",1988,131603.10760600786
"Albany-Schenectady-Troy, NY",1989,133180.88849662582
"Albany-Schenectady-Troy, NY",1990,134472.39869585598
"Albany-Schenectady-Troy, NY",1991,127917.8204528108
"Albany-Schenectady-Troy, NY",1992,138014.8533072284
"Albany-Schenectady-Troy, NY",1993,137635.87556860066
"Albany-Schenectady-Troy, NY",1994,139788.76348785154
"Albany-Schenectady-Troy, NY",1995,137960.22199508006
"Albany-Schenectady-Troy, NY",1996,141188.9422001376
"Albany-Schenectady-Troy, NY",1997,141868.65387888934
"Albany-Schenectady-Troy, NY",1998,319374.0006482154
"Albany-Schenectady-Troy, NY",1999,327790.0006722808
"Albany-Schenectady-Troy, NY",2000,331018.0007020086
"Albany-Schenectady-Troy, NY",2001,329912.00066541135
"Albany-Schenectady-Troy, NY",2002,326329.00065654516
"Albany-Schenectady-Troy, NY",2003,339861.0000000745
